dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
